Date,Nominal.GDP,Corporate.Profits,Statistical.Discrepancy,Dividends,Foreign.Saving,Personal.Savings,Net.Govt.Saving,Consumption.of.Fixed.Capital,Gross.Domestic.Investment,Net.Investment
1989-06-30,1,0.0529888571203053,0.012459235811443214,0.031589517828447156,-0.016672715704317338,0.05833535116400767,-0.031077621358038352,0.1481850303512023,0.2259761890635181,0.07779115871231577
1989-09-30,1,0.053134785918022814,0.01565483511592321,0.031975299212605335,-0.014337096920039366,0.05618797039346908,-0.032430406128492205,0.14834659411644383,0.22325241665810708,0.07490582254166324
1989-12-31,1,0.04995861489616663,0.016508106417048748,0.03285961584671034,-0.01522157516733693,0.059102312989702706,-0.035994165544243256,0.14929486986529353,0.22122926199145782,0.07193439212616429
1990-03-31,1,0.05126227267487311,0.017856860071711465,0.03289508524271881,-0.015331786855826646,0.05933096202241524,-0.03806681116576512,0.1481466534734188,0.2209683414837568,0.07282168801033802
1990-06-30,1,0.052836832310183775,0.015961166625391692,0.032550350434595275,-0.012224942567383911,0.06246262601450865,-0.0403321930702339,0.14802447236825061,0.218629174225356,0.07060470185710538
1990-09-30,1,0.047143396735823545,0.01731088810257358,0.03254866572814223,-0.013694498992205636,0.06003126124250971,-0.03957247042284803,0.1487941379684116,0.21485188315570306,0.06605774518729148
1990-12-31,1,0.04838266747247546,0.012873012005696174,0.03185603756236955,-0.009044532038310446,0.06007227965006937,-0.042669507536804714,0.15102503308640033,0.2068698141949026,0.05584478110850226
1991-03-31,1,0.05484792660630722,0.010290831521456368,0.032764070918869334,0.007717916522097608,0.06441268178005687,-0.039905865245399554,0.15226907971894119,0.20143332972117806,0.04916425000223687
1991-06-30,1,0.05415741369725644,0.015076396367341063,0.03294704532271169,0.002411022151306819,0.06384654983252437,-0.04980151340115054,0.15161856101867482,0.1995395032563162,0.04792094223764137
1991-09-30,1,0.0530822339962523,0.017362728625830395,0.03293974785757574,-0.0020994412286170485,0.0630986102501524,-0.05343737778839844,0.1511102997017211,0.20037506020444618,0.049264760502725075
1991-12-31,1,0.052910189734601425,0.017339022498060512,0.03264373760882682,-0.0026804841217391863,0.0690148039600673,-0.056921976713374005,0.15066916325859522,0.20304715110766314,0.052377987849067935
1992-03-31,1,0.054844476797637376,0.012321506083039373,0.03195799784444757,-0.00342427325540279,0.0712364818291456,-0.061438116189242296,0.14901049833870336,0.19743939355364726,0.04842889521494391
1992-06-30,1,0.05425465281296812,0.01474741077675075,0.031806450027608804,-0.0060873810399175495,0.07308427151481209,-0.0615001662091472,0.14761489487406665,0.20248122207535652,0.05486632720128987
1992-09-30,1,0.052203858867874764,0.021265057736520085,0.03158220466140908,-0.008025412079021833,0.06814838819420767,-0.06400791515784097,0.14670392366508236,0.20075667300831584,0.05405274934323349
1992-12-31,1,0.05308493604735837,0.02223909311500429,0.03135491347372464,-0.010241283869618667,0.06410711406997033,-0.061831639100868564,0.14583217017475295,0.2023202899411942,0.05648811976644126
1993-03-31,1,0.05165170038185834,0.027261329625457263,0.03164414851178973,-0.008517623779266655,0.06395328361462638,-0.062358207398247024,0.14654461822265358,0.2039267941152476,0.057382175892594034
1993-06-30,1,0.05338820042300276,0.02124780380614366,0.03189748065006897,-0.010940764779945891,0.060126401484871576,-0.05650704169915459,0.14650388261666022,0.2038015027010816,0.05729762008442139
1993-09-30,1,0.05609510355708391,0.02397001612008431,0.032519008011801055,-0.011248459408744253,0.053338821969695874,-0.05723298331409986,0.14656809594981066,0.2014685056795181,0.05490040972970743
1993-12-31,1,0.05781852701084642,0.018336584571593637,0.033197133967650345,-0.015433995395893031,0.051827000096097114,-0.04937851969948121,0.14565699488632167,0.20649730571629563,0.060840310829973966
1994-03-31,1,0.06137034245069883,0.022404833738355952,0.03456914419086262,-0.013065000930343417,0.048427045055042035,-0.04716503842515064,0.14521297556429125,0.2087462961932371,0.06353332062894586
1994-06-30,1,0.06242173411061869,0.0205208246083756,0.035252025995555915,-0.01506844759526481,0.04945541774856142,-0.042078777899223825,0.14447081116130403,0.21460684529768534,0.07013603413638132
1994-09-30,1,0.06424432978792333,0.017082351496881427,0.03590837632952876,-0.016600430359803985,0.04788942958570196,-0.0428591986850496,0.14489962249738272,0.21194899793004437,0.06704937543266166
1994-12-31,1,0.06514101131975049,0.016582592114483038,0.0361528622368445,-0.018581307657061674,0.05026231045668525,-0.04355096677687033,0.14485114458354928,0.21571400058589288,0.07086285600234359
1995-03-31,1,0.06420359547472851,0.01599885354045823,0.03620134775465288,-0.015849430937843523,0.05409643261512553,-0.042772087060202024,0.14611908688964226,0.21729476227249447,0.07117567538285222
1995-06-30,1,0.06746935792218359,0.013195757761149358,0.03671232161152418,-0.015747664851997696,0.04911359284273559,-0.04304064491781226,0.1471776073780269,0.21295127804429945,0.06577367066627253
1995-09-30,1,0.07014385422598227,0.00945500691450419,0.0372778003741967,-0.012987944358578052,0.048599105181810785,-0.04148585373789961,0.14717474985764256,0.2095977873586594,0.06242303750101685
1995-12-31,1,0.07147531079102888,0.009726492572742199,0.03822949015938839,-0.010942690116262463,0.04676757516738959,-0.036668362370001435,0.1471658210021735,0.21117875054711518,0.06401292954494167
1996-03-31,1,0.07407299616647103,0.006126859764823344,0.03899577401852559,-0.013080945363188871,0.04717970512175941,-0.03581256224210355,0.14686149832470566,0.21251506646528903,0.06565356814058339
1996-06-30,1,0.07279505131435457,0.00816709905836541,0.03973289646003157,-0.013611997749239373,0.04563579008171456,-0.029694852629954038,0.14534834504359603,0.2161304096683116,0.07078206462471556
1996-09-30,1,0.07267646636351294,0.007949791721187769,0.04058522214111012,-0.016421264312404444,0.04640475548638071,-0.0274186217196333,0.14534764458996524,0.2207944798735963,0.07544683528363105
1996-12-31,1,0.0738748083935983,0.0060120310841547545,0.04108927475107965,-0.013837792839535137,0.044141901754903366,-0.023145435872253598,0.14482362767684478,0.21845339295726235,0.07362976528041756
1997-03-31,1,0.07634549075622514,0.0015192543516383253,0.041491727208643664,-0.01577943846780717,0.04328218729578106,-0.020290087298830334,0.1450857413106244,0.22023137388783823,0.07514563257721382
1997-06-30,1,0.07728894536511782,0.005164796788289464,0.04173674186287428,-0.011960334905341992,0.0451476582744686,-0.017654077880458863,0.14452979137381033,0.22470117651201896,0.08017138513820862
1997-09-30,1,0.07888871791562635,0.0016031725454854612,0.04204564724455295,-0.014172631716012206,0.04149582647596517,-0.012280754206798406,0.14404149778888475,0.2258749832473779,0.08183348545849313
1997-12-31,1,0.07759105817572556,-0.003375235443405914,0.042549390496613756,-0.018681352654095006,0.04346715063255862,-0.012679121510187139,0.1443060027901277,0.2254413604889945,0.08113535769886678
1998-03-31,1,0.06937521992944214,-0.0031461188656603297,0.043509261849121635,-0.018593737311762955,0.05094005738466675,-0.0062876135738195995,0.14451574920374263,0.2304816567566836,0.08596590755294096
1998-06-30,1,0.06874935268173435,-0.008561602791799367,0.04343166922323703,-0.02186004234924717,0.048554583604198974,-0.005027036024285765,0.14493619016647047,0.2270800837352513,0.08214389356878082
1998-09-30,1,0.0679399638004069,-0.009836316837766335,0.04261022550248068,-0.024626971953044682,0.04641042628973248,-0.0013399704004902042,0.14458447267910868,0.2297753219815555,0.08519084930244683
1998-12-31,1,0.06477142058777548,-0.0033535646849668778,0.041158744397320805,-0.025369079871069383,0.04173201803186597,-4.549175913770521e-4,0.14404974138666585,0.23095395723968315,0.08690421585301727
1999-03-31,1,0.06906342564485285,-0.007900819428450726,0.03942355893452413,-0.02488789995242083,0.04256072400236217,0.0012790487396407994,0.14436176232898645,0.23482858855622193,0.09046682622723548
1999-06-30,1,0.06795798119084084,-0.004371938053013739,0.03866679403456359,-0.027525847110235865,0.03198564801741721,0.0024500824567167847,0.1452002422789336,0.232081068966567,0.08688082668763339
1999-09-30,1,0.0648944224748638,-9.54408686781135e-4,0.038577932089047313,-0.03028660340556144,0.029191485249869253,0.0032317754396628917,0.14562924180204748,0.23370129083129668,0.0880720490292492
1999-12-31,1,0.06378648687714321,8.071579384149906e-4,0.03923064343649083,-0.0319862216493476,0.027801040568095355,0.005170517796211358,0.14577478424863252,0.23609566664973095,0.09032088240109842
2000-03-31,1,0.06025277092121627,-0.015385047598128367,0.04028632161052107,-0.0370437281716314,0.029666235727235032,0.014773580836735675,0.14786478026438038,0.23392952675611983,0.08606474649173942
2000-06-30,1,0.05815303306491591,-0.003867787176074288,0.04047797949202359,-0.03703243258012514,0.030748888533254227,0.011648835057944597,0.14697249729695971,0.2402098222824199,0.09323732498546018
2000-09-30,1,0.058080676166740876,-0.012035667194699833,0.040613326109826695,-0.04039361650060839,0.03259358616575718,0.01086171814465072,0.14779401182283863,0.23707451857961176,0.08928050675677313
